Faturamento Diário
==================================================
Data                Valor Vendido
2022-01-01          R$45000.0   
2022-01-02          R$9800.0    
2022-01-03          R$1000.0    
2022-01-04          R$93900.0   
2022-01-05          R$113450.0  
2022-01-06          R$76200.0   
2022-01-07          R$41460.0   
2022-01-08          R$118400.0  
2022-01-09          R$18450.0   
2022-01-10          R$30200.0   
2022-01-11          R$51720.0   
2022-01-12          R$49250.0   
2022-01-13          R$54560.0   
2022-01-14          R$64500.0   
2022-01-15          R$27240.0   
2022-01-16          R$26300.0   
2022-01-17          R$34400.0   
2022-01-18          R$104210.0  
2022-01-19          R$85220.0   
